Site_ID,Name,Region,GDP/GMP Compliance
SITE00001,Main Manufacturing Location,South America,GMP Pending
SITE00002,Key Manufacturing Location,South America,Dual Certified
SITE00003,Flagship Manufacturing Campus,Western Europe,Fully Certified
SITE00004,Key Testing Hub,East Asia,GMP Pending
SITE00005,Central Processing Complex,Central America,Dual Certified
SITE00006,Strategic Processing Location,Central America,GMP Pending
SITE00007,Regional Distribution Center,Middle East,Certified with Exceptions
SITE00008,Primary Processing Plant,Oceania,GMP Pending
SITE00009,Central Development Unit,Caribbean,Under Review
SITE00010,Core Development Hub,Central America,GMP Pending
SITE00011,Principal Packaging Center,Eastern Europe,GMP Certified
SITE00012,Central Manufacturing Hub,South Asia,Fully Certified
SITE00013,Main Packaging Site,Oceania,GMP Certified
SITE00014,Strategic Testing Site,South America,Dual Certified
SITE00015,Principal Packaging Complex,Central Asia,GDP Pending
SITE00016,Core Testing Complex,Central Asia,Certified with Exceptions
SITE00017,Advanced Manufacturing Hub,Middle East,GDP Compliant
SITE00018,Key Clinical Complex,Caribbean,GMP Certified
SITE00019,Core Processing Site,Western Europe,Under Review
SITE00020,Regional Processing Facility,Southern Europe,GDP Pending
SITE00021,Main Distribution Facility,Western Europe,GDP Compliant
SITE00022,Principal Distribution Location,Western Europe,Dual Certified
SITE00023,Primary Research Site,Central Asia,Dual Certified
SITE00024,Advanced Clinical Location,South Asia,Dual Certified
SITE00025,Primary Testing Center,Northern Europe,GDP Compliant
SITE00026,Regional Distribution Unit,Western Europe,Certified with Exceptions
SITE00027,Primary Clinical Unit,North Africa,Under Review
SITE00028,Core Clinical Site,Western Europe,Conditionally Approved
SITE00029,Main Development Unit,Central Asia,Fully Certified
SITE00030,Strategic Storage Laboratory,North America,GDP Compliant
SITE00031,Key Manufacturing Campus,Southern Europe,GMP Certified
SITE00032,Principal Testing Facility,Central America,Under Review
SITE00033,Key Processing Plant,Southern Europe,Dual Certified
SITE00034,Regional Packaging Facility,Eastern Europe,GDP Compliant
SITE00035,Core Testing Complex,Western Europe,Dual Certified
SITE00036,Advanced Research Laboratory,North Africa,Under Review
SITE00037,Principal Development Center,Oceania,Under Review
SITE00038,Strategic Testing Complex,Middle East,Fully Certified
SITE00039,Key Development Laboratory,Sub-Saharan Africa,Certified with Exceptions
SITE00040,Principal Processing Complex,Southern Europe,Certified with Exceptions
SITE00041,Key Processing Campus,Caribbean,GMP Pending
SITE00042,Core Processing Facility,South America,Dual Certified
SITE00043,Flagship Distribution Laboratory,North Africa,GMP/GDP Compliant
SITE00044,Flagship Packaging Site,Western Europe,Certified with Exceptions
SITE00045,Core Manufacturing Campus,North America,Fully Certified
SITE00046,Central Manufacturing Unit,South Asia,Conditionally Approved
SITE00047,Core Manufacturing Hub,Caribbean,Conditionally Approved
SITE00048,Main Testing Laboratory,Eastern Europe,GMP/GDP Compliant
SITE00049,Central Manufacturing Laboratory,Oceania,GMP/GDP Compliant
SITE00050,Flagship Distribution Campus,Western Europe,GMP Certified
SITE00051,Principal Research Location,Northern Europe,GMP Certified
SITE00052,Flagship Testing Complex,North Africa,GDP Compliant
SITE00053,Strategic Manufacturing Campus,Western Europe,Under Review
SITE00054,Key Clinical Hub,Southeast Asia,Dual Certified
SITE00055,Central Development Hub,South Asia,GDP Pending
SITE00056,Regional Production Plant,Central America,GDP Compliant
SITE00057,Core Storage Facility,Southeast Asia,Conditionally Approved
SITE00058,Flagship Distribution Facility,Central Asia,Conditionally Approved
SITE00059,Regional Manufacturing Plant,North America,GDP Compliant
SITE00060,Flagship Development Hub,Middle East,GMP Pending
SITE00061,Strategic Clinical Campus,Sub-Saharan Africa,Dual Certified
SITE00062,Main Production Facility,Western Europe,Dual Certified
SITE00063,Key Storage Campus,Sub-Saharan Africa,Dual Certified
SITE00064,Flagship Packaging Site,Caribbean,Conditionally Approved
SITE00065,Flagship Production Complex,Oceania,GDP Pending
SITE00066,Flagship Manufacturing Hub,Central America,Certified with Exceptions
SITE00067,Strategic Distribution Location,Middle East,GDP Compliant
SITE00068,Key Storage Hub,North Africa,Under Review
SITE00069,Principal Production Campus,Caribbean,Under Review
SITE00070,Flagship Storage Plant,South Asia,Conditionally Approved
SITE00071,Main Development Campus,Southeast Asia,Certified with Exceptions
SITE00072,Flagship Distribution Campus,Caribbean,Certified with Exceptions
SITE00073,Advanced Clinical Location,South America,GDP Compliant
SITE00074,Main Research Center,South Asia,GDP Compliant
SITE00075,Central Clinical Unit,Southeast Asia,GDP Pending
SITE00076,Primary Research Facility,South Asia,GMP Pending
SITE00077,Strategic Distribution Site,Southeast Asia,GMP Certified
SITE00078,Core Processing Location,South Asia,Fully Certified
SITE00079,Core Storage Facility,Southern Europe,Fully Certified
SITE00080,Principal Development Campus,Middle East,GDP Compliant
SITE00081,Main Development Unit,Southeast Asia,GMP Pending
SITE00082,Primary Storage Hub,Caribbean,GMP Pending
SITE00083,Flagship Manufacturing Facility,Oceania,Dual Certified
SITE00084,Primary Storage Campus,Sub-Saharan Africa,Certified with Exceptions
SITE00085,Regional Distribution Hub,Middle East,GDP Pending
SITE00086,Advanced Packaging Complex,Oceania,Under Review
SITE00087,Flagship Distribution Campus,Western Europe,GMP Certified
SITE00088,Regional Processing Hub,Southeast Asia,Fully Certified
SITE00089,Key Manufacturing Campus,Western Europe,GDP Compliant
SITE00090,Regional Testing Unit,East Asia,GMP Certified
SITE00091,Advanced Production Center,Middle East,Dual Certified
SITE00092,Strategic Processing Unit,Oceania,GDP Pending
SITE00093,Key Packaging Laboratory,Oceania,GDP Compliant
SITE00094,Core Development Location,Caribbean,GMP/GDP Compliant
SITE00095,Main Production Facility,South Asia,Dual Certified
SITE00096,Regional Production Unit,Caribbean,GMP/GDP Compliant
SITE00097,Flagship Manufacturing Hub,South Asia,Certified with Exceptions
SITE00098,Core Storage Facility,Central Asia,Certified with Exceptions
SITE00099,Core Processing Hub,Central Asia,Fully Certified
SITE00100,Key Distribution Campus,North Africa,GDP Compliant
SITE00101,Primary Distribution Plant,Eastern Europe,GDP Pending
SITE00102,Primary Development Hub,Eastern Europe,Certified with Exceptions
SITE00103,Core Testing Plant,Western Europe,GMP Certified
SITE00104,Main Packaging Facility,Central Asia,GMP/GDP Compliant
SITE00105,Primary Packaging Plant,Middle East,Dual Certified
SITE00106,Flagship Processing Hub,Eastern Europe,GDP Compliant
SITE00107,Primary Research Site,Central Asia,Dual Certified
SITE00108,Flagship Packaging Hub,Western Europe,GDP Pending
SITE00109,Main Processing Laboratory,Sub-Saharan Africa,GMP Pending
SITE00110,Key Clinical Complex,Northern Europe,Certified with Exceptions
SITE00111,Advanced Packaging Campus,East Asia,Certified with Exceptions
SITE00112,Flagship Manufacturing Hub,Northern Europe,Dual Certified
SITE00113,Strategic Development Hub,Central America,GMP/GDP Compliant
SITE00114,Flagship Storage Laboratory,Central America,GMP Certified
SITE00115,Core Development Hub,Middle East,Dual Certified
SITE00116,Advanced Distribution Laboratory,East Asia,GMP/GDP Compliant
SITE00117,Principal Development Facility,Central Asia,GMP Certified
SITE00118,Advanced Production Plant,Middle East,GMP/GDP Compliant
SITE00119,Core Development Campus,Eastern Europe,GDP Pending
SITE00120,Flagship Distribution Location,North America,GDP Pending
SITE00121,Regional Distribution Laboratory,Oceania,Under Review
